<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170405;000000;164.3200000;168.4500000;163.8200000;168.1000000;57692310
20170406;000000;167.5300000;168.1900000;166.4100000;167.4900000;24375820
20170407;000000;166.1300000;166.8400000;160.7100000;161.4900000;59650240
20170410;000000;161.1400000;161.3900000;154.5100000;155.2000000;73679940
20170411;000000;155.1800000;158.5900000;154.6100000;156.0000000;53273370
20170412;000000;156.9400000;157.4400000;150.2800000;150.2800000;53244540
20170413;000000;151.5700000;153.3500000;149.7000000;152.0000000;69930590
20170414;000000;150.6000000;152.2500000;148.6000000;149.2400000;24840630
20170417;000000;149.4000000;154.2000000;147.6200000;153.9900000;48346600
20170418;000000;154.4400000;155.5900000;152.1500000;153.4000000;60835810
20170419;000000;153.1900000;155.3800000;152.3600000;153.6000000;38948690
20170420;000000;152.9900000;158.4000000;152.2600000;158.2100000;64051190
20170421;000000;158.7500000;160.3000000;157.8000000;159.5900000;57083470
20170424;000000;161.1300000;163.4300000;161.0000000;162.5000000;47923700
20170425;000000;163.0800000;163.5300000;161.3100000;162.5500000;40459900
20170426;000000;163.1000000;165.8000000;161.7000000;165.0500000;49230820
20170427;000000;164.9800000;165.7900000;163.2700000;164.6900000;43668030
20170428;000000;165.5000000;166.0000000;163.9100000;165.2000000;40779440
20170502;000000;166.0000000;168.3400000;165.0100000;166.6400000;42399190
20170503;000000;166.3000000;166.5000000;163.6300000;164.7100000;33445270
20170504;000000;164.6000000;167.4000000;163.7800000;165.5000000;37605500
20170505;000000;164.2200000;166.6000000;164.0000000;165.8000000;35456420
20170510;000000;167.0100000;170.8000000;166.4100000;170.8000000;46231060
20170511;000000;171.0100000;172.3900000;168.8400000;169.9700000;56518590
20170512;000000;169.7400000;170.4300000;166.8500000;167.7000000;37348590
20170515;000000;168.5100000;171.6800000;167.8900000;171.3500000;47039700
20170516;000000;170.9100000;172.0000000;169.9800000;170.6600000;37176510
20170517;000000;169.8000000;170.6300000;168.1700000;169.2400000;35159440
20170518;000000;168.4500000;169.1700000;164.7000000;166.5000000;57391080
20170519;000000;167.4000000;170.0800000;165.7100000;168.8700000;36513820
20170522;000000;170.4800000;170.4800000;167.1400000;168.0300000;29547080
20170523;000000;167.8500000;168.3000000;165.4000000;166.3100000;39494780
20170524;000000;166.5500000;168.4800000;162.5100000;165.7000000;46841490
20170525;000000;166.5000000;166.9500000;163.5300000;164.0500000;34259260
20170526;000000;163.8000000;163.8000000;160.6200000;160.7000000;46053720
20170529;000000;160.9900000;164.2200000;160.6900000;163.9000000;28717750
20170530;000000;163.1500000;163.4500000;161.1700000;161.6400000;22662700
20170531;000000;161.5200000;161.6000000;155.0300000;155.9300000;74332900
20170601;000000;156.4000000;156.7600000;152.7200000;153.0000000;50552110
20170602;000000;153.0100000;157.1400000;151.6200000;157.1400000;65317930
20170605;000000;157.1100000;158.8900000;154.4300000;154.7000000;48549350
20170606;000000;154.4900000;156.0000000;152.1100000;152.8000000;34638420
20170607;000000;153.3000000;155.1100000;151.7500000;152.8200000;43633800
20170608;000000;153.1100000;153.4300000;148.2500000;151.9300000;67939500
20170609;000000;151.4200000;153.7500000;150.1200000;150.1300000;45286770
20170613;000000;145.4000000;147.3000000;145.0000000;146.0000000;52895870
20170614;000000;145.6500000;145.6500000;142.8100000;143.0000000;58195180
20170615;000000;141.9400000;142.2100000;136.2000000;139.0000000;183227550
20170616;000000;139.6100000;142.8000000;139.0200000;141.6300000;79633620
20170619;000000;142.5000000;145.1500000;141.8000000;145.0000000;55148910
20170620;000000;145.2000000;147.1000000;143.5000000;144.9000000;58964860
20170621;000000;144.2000000;144.9900000;142.7700000;143.4900000;48022620
20170622;000000;142.5000000;145.6900000;141.7800000;144.2500000;54308270
20170623;000000;144.3700000;146.0000000;143.6200000;144.1000000;42311360
20170626;000000;144.8500000;146.4900000;143.8100000;144.4900000;46164540
20170627;000000;144.3600000;147.2000000;143.4000000;147.1000000;51038540
20170628;000000;146.2000000;146.4500000;144.7100000;145.5000000;45931650
20170629;000000;146.5000000;146.8300000;143.2000000;143.8000000;48648990
20170630;000000;143.2100000;146.7300000;142.8800000;145.5900000;67176090
20170703;000000;146.6900000;148.3000000;146.2200000;147.5000000;38271440
20170704;000000;147.4900000;149.8000000;147.1100000;149.3900000;39918560
20170705;000000;149.3900000;149.7900000;147.8900000;148.9600000;48166110
20170706;000000;149.2000000;151.0300000;148.9000000;150.3500000;51528480
20170707;000000;149.6900000;152.5000000;149.0600000;152.1600000;57091440
20170710;000000;152.3700000;155.3400000;152.3600000;155.0000000;63594070
20170711;000000;155.5700000;157.0000000;154.9500000;156.9100000;57174460
20170712;000000;157.5500000;160.9900000;157.5000000;160.8500000;70351270
