<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170405;000000;128.8800000;131.2500000;128.8200000;130.6900000;34434130
20170406;000000;130.1800000;130.9300000;129.5500000;130.5000000;23581140
20170407;000000;129.7000000;129.8900000;127.8400000;128.7200000;27362790
20170410;000000;128.1000000;128.4000000;125.8100000;126.1600000;29799810
20170411;000000;125.9700000;127.6900000;125.5000000;126.0000000;32626680
20170412;000000;127.0600000;127.4500000;124.6200000;125.0500000;28702040
20170413;000000;125.6500000;125.9500000;123.5000000;124.5400000;42139090
20170414;000000;124.2700000;124.3700000;122.6300000;122.8500000;14689130
20170417;000000;123.0100000;124.0300000;122.2500000;123.7000000;21595230
20170418;000000;124.0900000;124.3900000;122.0300000;122.2200000;22081750
20170419;000000;122.3600000;123.1500000;121.2500000;121.5500000;28911230
20170420;000000;121.3000000;121.9900000;120.5500000;121.9900000;32955940
20170421;000000;122.1500000;123.6400000;122.1300000;123.0000000;29465300
20170424;000000;123.5600000;128.4000000;123.3800000;128.0000000;66751830
20170425;000000;128.5000000;131.7500000;127.9800000;130.2000000;57382670
20170426;000000;130.1900000;134.0000000;130.0100000;133.4300000;57635150
20170427;000000;133.3700000;136.6000000;132.2200000;133.4100000;99542840
20170428;000000;136.0000000;137.7700000;135.0500000;136.7500000;52186090
20170502;000000;137.2500000;138.4300000;136.2800000;136.5200000;33809990
20170503;000000;136.4500000;138.0900000;135.1000000;135.8100000;33129650
20170504;000000;135.8900000;136.4100000;134.3000000;134.9300000;31945660
20170505;000000;133.7000000;134.9400000;132.9100000;134.4100000;26216280
20170510;000000;134.9800000;135.4300000;133.5100000;134.1900000;23714000
20170511;000000;134.5700000;134.7500000;130.3700000;131.1000000;36600410
20170512;000000;131.4100000;132.5000000;130.2000000;132.5000000;23886540
20170515;000000;132.7900000;133.9200000;129.2800000;131.5000000;46356520
20170516;000000;131.4100000;133.0700000;130.2700000;131.1300000;22519330
20170517;000000;130.9700000;132.1800000;130.6000000;132.0700000;17611290
20170518;000000;131.3700000;132.8400000;125.8500000;126.9000000;80113110
20170519;000000;127.3000000;127.4000000;124.0000000;124.1900000;57664570
20170522;000000;124.4900000;124.4900000;122.1700000;122.5200000;39193160
20170523;000000;122.5800000;123.7100000;121.9600000;123.2300000;34369260
20170524;000000;123.3000000;123.6700000;120.9200000;122.0000000;32248550
20170525;000000;122.3200000;122.4700000;120.7500000;121.6100000;24546840
20170526;000000;121.4000000;122.2000000;120.5400000;122.2000000;22646890
20170529;000000;122.4100000;123.8300000;122.1100000;123.1100000;24470000
20170530;000000;122.7200000;122.9100000;121.7900000;122.1000000;16057320
20170531;000000;122.2500000;122.7800000;119.4000000;120.2800000;55389010
20170601;000000;120.2900000;120.9800000;117.2400000;118.0000000;48558490
20170602;000000;117.8000000;119.6900000;116.5500000;119.6900000;38260450
20170605;000000;119.5900000;120.9900000;118.5500000;119.0000000;24767790
20170606;000000;119.0900000;120.2400000;118.6600000;119.0500000;18193840
